Config,Model,Type,Epoch,Predicted,GT
2,resnet50,train,1,"['<SOS>', 'beef', 'broccoli', 'stir', 'fry', '<EOS>', 'salad', 'mushroom', 'walnut', 'turkey', 'pepper', 'cooky', 'herb', 'cream', 'ice', '<SOS>', 'pickled']","['<SOS>', 'beef', 'broccoli', 'stir', 'fry', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'rice', 'style', 'egg', 'rib', '<EOS>', '<EOS>', 'olive', 'ice', 'mint', '<EOS>', 'pea', 'bacon', 'ice', 'carrot', 'arugula', 'cooky']","['<SOS>', 'korean', 'style', 'short', 'rib', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'coconut', 'pudding', '<EOS>', 'salad', 'ice', 'walnut', 'crispy', 'lemon', '<EOS>', 'cream', 'cream', 'glazed', 'mint', 'pea', '<SOS>', 'olive']","['<SOS>', 'mai', 'tai', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'chicken', 'breast', 'salsa', '<EOS>', '<EOS>', '<EOS>', 'mint', 'pea', 'pea', 'green', '<SOS>', 'pickled', 'pea', '<SOS>', '<SOS>', 'tart']","['<SOS>', 'chicken', 'breast', 'salsa', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'brownie', 'ice', 'cream', 'sandwich', '<EOS>', 'nut', 'corn', 'dressing', 'bacon', 'steak', 'corn', '<EOS>', 'ice', 'mint', 'red', 'corn']","['<SOS>', 'brownie', 'ice', 'cream', 'sandwich', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'creamy', 'beet', 'dip', '<EOS>', 'sauce', '<EOS>', 'corn', 'ice', 'ice', 'ice', 'mint', 'cream', 'corn', 'corn', 'turkey', 'eggplant']","['<SOS>', 'creamy', 'beet', 'dip', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'cake', 'potato', 'salad', '<EOS>', 'rice', 'cucumber', 'rice', 'fresh', 'corn', 'bean', 'rice', 'squash', '<EOS>', 'egg', 'corn', '<SOS>']","['<SOS>', 'german', 'potato', 'salad', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'chicken', 'salad', 'cake', 'dressing', 'parmesan', '<EOS>', 'dressing', 'corn', 'pea', 'ice', 'pea', '<SOS>', 'pesto', 'steak', 'pea', 'nut']","['<SOS>', 'romaine', 'salad', 'anchovy', 'dressing', 'parmesan', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'crispy', 'vegetable', 'fennel', 'orange', '<EOS>', 'cream', 'roast', 'vinaigrette', 'corn', 'cream', 'bacon', '<SOS>', 'corn', 'pork', 'walnut', 'corn']","['<SOS>', 'broiled', 'cod', 'fennel', 'orange', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', '<EOS>', 'tomato', 'spiced', 'de', 'chicken', '<EOS>', 'rice', '<EOS>', 'pea', 'corn', 'pea', 'corn', 'dressing', 'cream', 'spicy', '<SOS>']","['<SOS>', 'heirloom', 'tomato', 'pico', 'de', 'gallo', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'lemon', 'beef', '<EOS>', 'salad', 'roast', 'rice', 'ice', 'pasta', '<SOS>', 'arugula', 'rice', 'cream', 'spiced', 'mint', 'roasted', 'pea']","['<SOS>', 'corned', 'beef', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'herbed', 'polenta', 'fry', '<EOS>', 'cream', 'pea', 'pea', 'cream', 'mint', 'pickled', 'pea', 'dressing', 'pea', 'mint', 'pea', '<SOS>']","['<SOS>', 'herbed', 'polenta', 'fry', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'chocolate', 'cooky', 'ice', 'cream', '<EOS>', 'mint', 'ice', 'rice', '<EOS>', 'rice', 'corn', 'corn', '<EOS>', 'cream', 'dressing', 'pepper']","['<SOS>', 'chocolate', 'malted', 'ice', 'cream', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'rice', '<EOS>', 'herb', '<EOS>', 'spiced', 'pea', 'ice', 'mint', '<SOS>', 'salad', 'ice', '<SOS>', 'pickled', 'soup', 'butter', 'pea']","['<SOS>', 'sazerac', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'white', 'smoked', 'herb', 'soup', 'chile', '<EOS>', 'pesto', 'corn', 'corn', 'mint', 'egg', 'crispy', 'cucumber', '<EOS>', 'herb', '<EOS>']","['<SOS>', 'buttery', 'steamed', 'mussel', 'sake', 'chile', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'mushroom', 'lamb', 'bean', 'stew', '<EOS>', 'ice', 'mint', 'cooky', 'green', 'pepper', 'ice', 'corn', 'lemon', '<SOS>', 'cheese', '<SOS>']","['<SOS>', 'lebanese', 'lamb', 'bean', 'stew', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'avocado', '<SOS>', 'salad', 'ricotta', 'vinaigrette', '<EOS>', '<EOS>', 'corn', 'mint', 'pea', 'rice', '<SOS>', 's', 'lemon', 'caramel', 'cream']","['<SOS>', 'avocado', 'tangerine', 'salad', 'jalapeño', 'vinaigrette', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'salmon', 'citrus', 'chile', 'sauce', '<EOS>', 'mushroom', 'pea', 'cooky', 'corn', 'ice', '<EOS>', 'red', 'corn', 'rice', '<SOS>', 'pea']","['<SOS>', 'salmon', 'citrus', 'chile', 'sauce', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'cranberry', 'walnut', 'relish', '<EOS>', '<EOS>', 'peanut', 'walnut', 'pea', 'cream', 'pepper', 'ice', '<SOS>', 'crispy', '<EOS>', 'pesto', 'lemon']","['<SOS>', 'cranberry', 'walnut', 'relish', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'chicken', 'salad', 'miso', 'dressing', '<EOS>', 'vinaigrette', '<SOS>', '<SOS>', 'bacon', 'lemon', 'pea', 'parmesan', 'parmesan', 'honey', 'pea', 'rice']","['<SOS>', 'soba', 'salad', 'miso', 'dressing', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'chicken', 'corn', 'soup', 'chile', 'mint', 'salsa', '<EOS>', 'pea', '<EOS>', 'pea', 'pea', 'ice', 'peach', 'green', 'corn', 'pickled']","['<SOS>', 'chicken', 'corn', 'soup', 'chile', 'mint', 'salsa', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
2,resnet50,train,1,"['<SOS>', 'potato', '<EOS>', 'potato', '<EOS>', 'cooky', 'pecan', 'pea', 'bacon', 'ice', 'corn', 'corn', '<SOS>', 'herb', 'honey', 'red', 'ice']","['<SOS>', 'panfried', 'smashed', 'potato', '<EOS>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
